"Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1",1,"OFRA_PP_9GX5_P1",0.001,179.292,0,218.986,-86.517,0.347,"C1","H"
"10",10,"OFRA_PP_9GX5_P1",0.0005534,124.611,0.713,203.773,9.62,0.18,"C2","CW"
"11",11,"OFRA_PP_9GX5_P1",9.072e-06,199,199,199,0,0,"C2","A"
"12",12,"OFRA_PP_9GX5_P1",9.072e-06,170,170,170,0,0,"C2","CA"
"13",13,"OFRA_PP_9GX5_P1",0,NA,255,0,0,0,"C3","H"
"14",14,"OFRA_PP_9GX5_P1",0,NA,255,0,0,0,"C3","CH"
"15",15,"OFRA_PP_9GX5_P1",0.001,168.812,0,199.333,2.99,0.404,"C3","W"
"16",16,"OFRA_PP_9GX5_P1",0.0005171,150.629,0.286,181.476,4.086,0.169,"C3","CW"
"17",17,"OFRA_PP_9GX5_P1",0,NA,255,0,0,0,"C3","A"
"18",18,"OFRA_PP_9GX5_P1",0,NA,255,0,0,0,"C3","CA"
"19",19,"OFRA_PP_9GX5_P1",0.001,143.875,0,192.473,-106.699,0.44,"C4","H"
"2",2,"OFRA_PP_9GX5_P1",0.0006713,162.288,49.708,186.746,-137.779,0.22,"C1","CH"
"20",20,"OFRA_PP_9GX5_P1",0.0006169,126.88,0.478,180.667,-115.796,0.201,"C4","CH"
"21",21,"OFRA_PP_9GX5_P1",0.001,152.542,101.996,183.788,5.156,0.402,"C4","W"
"22",22,"OFRA_PP_9GX5_P1",0.0006259,105.201,0,172,7.651,0.204,"C4","CW"
"23",23,"OFRA_PP_9GX5_P1",9.072e-06,139,139,139,0,0,"C4","A"
"24",24,"OFRA_PP_9GX5_P1",9.072e-06,141,141,141,0,0,"C4","CA"
"25",25,"OFRA_PP_9GX5_P1",0.001,150.669,0,213.167,-89.045,0.361,"C5","H"
"26",26,"OFRA_PP_9GX5_P1",0.0006259,173.716,114.271,210.345,-99.324,0.205,"C5","CH"
"27",27,"OFRA_PP_9GX5_P1",0.001,185.267,0,220.339,1.481,0.35,"C5","W"
"28",28,"OFRA_PP_9GX5_P1",0.0006532,142.72,0,196,6.429,0.215,"C5","CW"
"29",29,"OFRA_PP_9GX5_P1",0.093,181.788,0,225,0,0,"C5","A"
